make_id,make_name,make_type
501,Aakron Xpress,Standard
502,ADLY,Standard
503,Alpha,Standard
504,Anglo,Standard
505,Aprilia,Standard
506,Atlas,Standard
507,Audi,Standard
508,Bailey,Standard
509,Bedford,Standard
510,Benelli,Standard
511,Bentley,Luxury
512,BMW,Luxury
513,Bricon,Standard
514,Briford,Standard
515,Buell,Standard
516,Buffalo,Standard
517,Cadillac,Luxury
518,Can-Am,Standard
519,Caravan,Standard
520,Caterpillar,Standard
521,Chery,Standard
522,Chevrolet,Standard
523,Chrysler,Standard
524,Citroen,Standard
525,Classic,Standard
526,Crusader,Standard
527,Custombuilt,Standard
528,Dacia,Standard
529,Daewoo,Standard
530,DAF,Standard
531,Daihatsu,Standard
532,Diamond,Standard
533,DMW,Standard
534,Dodge,Standard
535,Domett,Standard
536,Ducati,Standard
537,Elddis,Standard
538,Factory Built,Standard
539,Ferrari,Luxury
540,Ford,Standard
541,Forza,Standard
542,FOTON,Standard
543,Fuso,Standard
544,Great Wall,Standard
545,Harley Davidson,Standard
546,Hino,Standard
547,Hitachi,Standard
548,Holden,Standard
549,Homebuilt,Standard
550,Honda,Standard
551,Hoskings,Standard
552,Husaberg,Standard
553,Husqvarna,Standard
554,Hyosung,Standard
555,Hyundai,Standard
556,Isuzu,Standard
557,Jaguar,Luxury
558,Jayco,Standard
559,Jeep,Standard
560,John Deere,Standard
561,Kawasaki,Standard
562,Kea,Standard
563,Keeway,Standard
564,Kia,Standard
565,KTM,Standard
566,Kymco,Standard
567,Lambretta,Standard
568,Land Rover,Luxury
569,Landrover,Luxury
570,Lexus,Luxury
571,Liteweight,Standard
572,Lochiel,Standard
573,Mahindra,Standard
574,Maserati,Luxury
575,Massey,Standard
576,Mazda,Standard
577,Mercedes-Benz,Luxury
578,MG,Standard
579,Mini,Luxury
580,Mitsubishi,Standard
581,Mitsubishio Fuso,Standard
582,Mobile Machine,Standard
583,Moden,Standard
584,Mono - Way,Standard
585,Moped,Standard
586,Morris,Standard
587,Nissan,Standard
588,Nissan Diesel,Standard
589,Niu,Standard
590,Over,Standard
591,Oxford,Standard
592,Peugeot,Standard
593,PGO,Standard
594,Piaggio,Standard
595,Pinto,Standard
596,Porsche,Luxury
597,Reid,Standard
598,Renault,Standard
599,Rhino,Standard
600,Rover,Luxury
601,Royal Enfield,Standard
602,Saab,Standard
603,Scomadi,Standard
604,Seat,Standard
605,Skoda,Standard
606,Sprite,Standard
607,Ssangyong,Standard
608,Steelbro,Standard
609,Sterling,Standard
610,Subaru,Standard
611,Suzuki,Standard
612,Swift,Standard
613,SYM,Standard
614,Takeuchi,Standard
615,TGB,Standard
616,Titan,Standard
617,TNT Motor,Standard
618,Toko,Standard
619,Toyota,Standard
620,Toyota Lexus,Luxury
621,Tractor,Standard
622,Trail-Lite,Standard
623,Trailer,Standard
624,Trike,Standard
625,Triumph,Standard
626,Trojan,Standard
627,Ubco,Standard
628,Universal,Standard
629,Vespa,Standard
630,Veteran,Standard
631,Victory,Standard
632,Vmoto,Standard
633,Volkswagen,Standard
634,Volvo,Luxury
635,Voyager,Standard
636,Yamaha,Standard
637,Zephyr,Standard
638,Znen,Standard
